2026-04-05 15:14:38 [INFO    ] AutoCut: Starting prompt generation — reset=True, limit=70
2026-04-05 15:14:38 [INFO    ] AutoCut: Limit active — generating 70 scenes only
2026-04-05 15:14:38 [INFO    ] AutoCut: Audio duration: 566s | 7s per image | 70 total scenes | 7 batches
2026-04-05 15:14:38 [INFO    ] AutoCut: Reset: deleted old prompts file
2026-04-05 15:14:38 [INFO    ] AutoCut: DEBUG: resume_from=0 | total_images=70 | all_scenes=0
2026-04-05 15:14:38 [INFO    ] AutoCut: DEBUG: script words=1121 | scenes_per_batch=10
2026-04-05 15:14:38 [INFO    ] AutoCut: Batch 1/7 — 10 scenes...
2026-04-05 15:14:42 [INFO    ] AutoCut:   RAW RESPONSE: [
  {
    "scene_description": "A senator moves through his torchlit courtyard in the dark",
2026-04-07 22:48:07 [INFO    ] AutoCut:   RAW RESPONSE: [
  {
    "scene_description": "The entity created to replace one man now holds more concentrated influence over the global economy",
    "main_prompt": "Editorial collage illustration in watercolor style. A clear, singular focal point on a full-frame background of aged beige parchment paper. A watercolor illustration of a large, ornate key is centered, with a thin, vibrant red hand-drawn ink line circling it. Soft directional lighting and smooth shading. Large bold text CONCENTRATED POWER in a 
2026-04-07 22:48:07 [INFO    ] AutoCut:   Batch 6: parsed 10 scenes
2026-04-07 22:48:07 [INFO    ] AutoCut:   Saved 60/60 scenes
2026-04-07 22:48:07 [INFO    ] AutoCut: 
Done! Total scenes: 60
2026-04-07 22:48:07 [INFO    ] AutoCut: Output saved to: J:\Coding\Desktop\AutoCut\output/
2026-04-07 22:48:07 [INFO    ] AutoCut: Step finished successfully [pbar_prompts]
2026-04-07 22:55:49 [INFO    ] AutoCut: Audio uploaded: J:/Coding/Desktop/AutoCut/assets/audio/audio.MP3
2026-04-07 22:56:05 [INFO    ] AutoCut: Images uploaded: 60 files
2026-04-07 22:56:10 [INFO    ] AutoCut: Session images already in place: J:\Coding\Desktop\AutoCut\session\images (60 files)
2026-04-07 22:56:10 [INFO    ] AutoCut: Session images folder: J:\Coding\Desktop\AutoCut\session\images (60 files)
2026-04-07 22:56:10 [INFO    ] AutoCut: Session audio: J:\Coding\Desktop\AutoCut\assets\audio\audio.MP3
2026-04-07 22:56:10 [INFO    ] AutoCut: Starting Video Builder | audio=J:\Coding\Desktop\AutoCut\assets\audio\audio.MP3
2026-04-07 22:59:28 [INFO    ] AutoCut: Step finished successfully [pbar_2]
2026-04-07 23:03:20 [INFO    ] AutoCut: Event loop exited with code 0
2026-04-08 22:16:19 [INFO    ] AutoCut: ============================================================
2026-04-08 22:16:19 [INFO    ] AutoCut: AutoCut starting up
2026-04-08 22:16:19 [INFO    ] AutoCut: Python 3.10.10 (tags/v3.10.10:aad5f6a, Feb  7 2023, 17:20:36) [MSC v.1929 64 bit (AMD64)]
2026-04-08 22:16:19 [INFO    ] AutoCut: Platform: win32
2026-04-08 22:16:22 [INFO    ] AutoCut: Cairo font loaded — families: ['Cairo', 'Cairo ExtraLight', 'Cairo', 'Cairo Light', 'Cairo', 'Cairo', 'Cairo Medium', 'Cairo', 'Cairo SemiBold', 'Cairo', 'Cairo', 'Cairo ExtraBold', 'Cairo', 'Cairo Black']
2026-04-08 22:16:22 [INFO    ] AutoCut: Creating main window...
2026-04-08 22:16:26 [INFO    ] AutoCut: Main window shown — entering event loop
2026-04-08 22:18:25 [INFO    ] AutoCut: Audio uploaded: J:/Coding/Desktop/AutoCut/assets/audio/audio.MP3
2026-04-08 22:18:38 [INFO    ] AutoCut: Images uploaded: 60 files
2026-04-08 22:18:58 [INFO    ] AutoCut: Session images already in place: J:\Coding\Desktop\AutoCut\session\images (60 files)
2026-04-08 22:18:58 [INFO    ] AutoCut: Session images folder: J:\Coding\Desktop\AutoCut\session\images (60 files)
2026-04-08 22:18:58 [INFO    ] AutoCut: Session audio: J:\Coding\Desktop\AutoCut\assets\audio\audio.MP3
2026-04-08 22:18:58 [INFO    ] AutoCut: Starting Video Builder | audio=J:\Coding\Desktop\AutoCut\assets\audio\audio.MP3
2026-04-08 22:22:14 [INFO    ] AutoCut: Step finished successfully [pbar_2]
